,date_x,compound,positive,negative,neutral,binary score,new score,price,change
1,2021-04-07,0.9382,0.28,0.0,0.72,1.0,1,24.98954918,0.08920213586288828
2,2021-04-09,-0.3182,0.08,0.089,0.831,0.0,0,27.00514637,0.08065760512451137
3,2021-04-10,0.8074,0.128,0.0,0.872,1.0,1,27.78469812,0.02886678484609173
4,2021-04-11,0.0,0.0,0.0,1.0,0.0,0,26.83396606,-0.034217829392778065
5,2021-04-12,0.4795,0.087,0.03,0.883,0.0,0,27.81776983,0.03666263003389947
6,2021-04-13,0.032,0.0105,0.0,0.9895,0.0,0,28.52398051,0.025387034414181997
7,2021-04-18,0.158,0.071,0.018,0.911,0.5,1,25.01097915,-0.12315957651031229
8,2021-04-19,0.9022,0.147,0.0,0.853,1.0,1,32.43000667,0.2966308306246377
9,2021-04-21,0.0772,0.058,0.0,0.942,0.0,0,31.68779272,-0.022886641916314954
10,2021-04-22,0.4215,0.097,0.0,0.903,0.0,0,32.31362189,0.019749850534871882
11,2021-04-23,0.18076666666666666,0.024666666666666667,0.0,0.9753333333333334,0.0,0,39.04180159,0.2082149665210431
12,2021-04-25,0.3705,0.11666666666666665,0.0,0.8833333333333333,0.6666666666666666,1,40.74492272,0.04362301586093387
13,2021-04-26,0.13599999999999998,0.03966666666666667,0.010666666666666666,0.9496666666666668,0.0,0,47.66158942,0.16975530294980512
14,2021-04-27,0.4683,0.073,0.004333333333333333,0.9223333333333334,0.0,0,44.49648066,-0.06640795656453358
15,2021-04-28,0.390725,0.10099999999999999,0.02225,0.8767499999999999,0.5,1,43.2179654,-0.028732952382666155
16,2021-04-29,0.59816,0.19039999999999999,0.0144,0.7949999999999999,0.6,1,45.03962011,0.042150404192789814
17,2021-04-30,0.56415,0.1355,0.017,0.8474999999999999,1.0,1,42.5819452,-0.05456695469450312
18,2021-05-01,0.5098333333333334,0.10699999999999998,0.03133333333333333,0.8616666666666667,0.6666666666666666,1,42.99529635,0.00970719275642673
19,2021-05-02,0.0,0.0,0.0,1.0,0.0,0,49.66339414,0.1550890063815087
20,2021-05-03,0.4019,0.197,0.0,0.803,1.0,1,46.93452855,-0.05494722294467802
21,2021-05-04,-0.0772,0.0,0.061,0.939,0.0,0,46.08780895,-0.018040441145541264
22,2021-05-06,-0.1468,0.0,0.025666666666666667,0.9743333333333334,0.0,0,44.89309349,-0.025922591835427333
23,2021-05-07,0.5892333333333334,0.129,0.0,0.871,0.6666666666666666,1,43.43782697,-0.032416267333507665
24,2021-05-08,0.4767,0.072,0.0,0.928,0.0,0,43.07213433,-0.00841875999581121
25,2021-05-09,0.50935,0.067,0.0,0.933,0.0,0,45.6856733,0.060678185807468976
26,2021-05-11,0.7269,0.107,0.0,0.893,1.0,1,42.960486,-0.05965080742281614
27,2021-05-12,0.1779,0.108,0.0,0.892,1.0,1,44.72439582,0.041058888858938714
28,2021-05-13,0.3182,0.081,0.0,0.919,0.0,0,43.62157837,-0.024658073737618524
29,2021-05-15,0.0,0.0,0.0,1.0,0.0,0,42.87180003,-0.01718824416760778
30,2021-05-16,0.24141999999999997,0.07999999999999999,0.031000000000000007,0.889,0.6,1,43.46242757,0.013776597660623002
31,2021-05-18,0.8126,0.179,0.0,0.821,1.0,1,46.86175962,0.07821311970034528
32,2021-05-19,0.20095,0.084,0.038,0.8785000000000001,0.5,1,56.20200903,0.19931495286860068
33,2021-05-20,0.2679333333333333,0.04533333333333334,0.010666666666666666,0.944,0.0,0,35.75884416,-0.3637443789436009
34,2021-05-21,0.4127,0.10750000000000001,0.0,0.8925000000000001,0.5,1,44.52570263,0.2451661589164742
35,2021-05-22,0.4588,0.051,0.0,0.949,0.0,0,38.43160145,-0.1368670412826677
36,2021-05-23,0.7184,0.167,0.0,0.833,1.0,1,31.61460189,-0.1773800545072004
37,2021-05-24,-0.7645,0.0,0.111,0.889,0.0,0,24.76763979,-0.21657593930245755
38,2021-05-26,-0.2294,0.0155,0.058,0.9259999999999999,0.0,0,30.00644953,0.21151832731818
39,2021-05-28,0.11190000000000003,0.0318,0.019799999999999998,0.9486000000000001,0.0,0,33.65934259,0.12173693046716139
40,2021-05-29,0.49832,0.11800000000000002,0.0104,0.8715999999999999,0.6,1,29.02194839,-0.13777435455253795
41,2021-05-31,0.0,0.0,0.0,1.0,0.0,0,28.56228743,-0.015838390786966583
42,2021-06-01,0.09106666666666667,0.046000000000000006,0.031,0.923,0.3333333333333333,0,32.6621226,0.14354015518007102
43,2021-06-02,0.21578000000000003,0.1196,0.0166,0.8638,0.6,1,30.98523815,-0.051340339099700594
44,2021-06-03,0.2539444444444444,0.08511111111111111,0.01311111111111111,0.9018888888888887,0.3333333333333333,0,34.18804886,0.10336569609357671
45,2021-06-04,0.35588571428571425,0.13842857142857143,0.04185714285714286,0.8195714285714286,0.7142857142857143,1,39.70667545,0.1614197584834034
46,2021-06-05,0.2977,0.0765,0.0125,0.9112500000000001,0.5,1,37.59916222,-0.05307705080103864
47,2021-06-06,0.43979999999999997,0.0915,0.016,0.8925000000000001,0.25,0,39.34001089,0.04630019838777155
48,2021-06-07,0.1572375,0.064,0.027499999999999997,0.9086250000000001,0.25,0,42.25988705,0.074221539189818
49,2021-06-08,0.51535,0.086,0.0,0.914,0.0,0,38.19473237,-0.09619416812899417
50,2021-06-09,0.052878947368421046,0.025,0.01836842105263158,0.9566842105263158,0.10526315789473684,0,41.41714833,0.08436807276940228
51,2021-06-10,0.332725,0.0785,0.008,0.91325,0.25,0,42.07765253,0.015947602059352084
